duplicate_fp,fn,fp,gt,height,image,max_conf,mean_gt_best_iou,precision_image,pred,recall_image,tp,width
8,2,67,10,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0040.png,0.6700388193130493,0.7238984699449496,0.10666666666666667,75,0.8,8,1024
3,3,23,9,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0041.png,0.7659971714019775,0.6743821561321742,0.20689655172413793,29,0.6666666666666666,6,1024
3,3,42,9,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0042.png,0.6690078377723694,0.656498254748489,0.125,48,0.6666666666666666,6,1024
4,3,47,9,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0043.png,0.7110740542411804,0.6390786724045054,0.11320754716981132,53,0.6666666666666666,6,1024
5,3,42,9,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0044.png,0.6997513771057129,0.673817487620544,0.125,48,0.6666666666666666,6,1024
0,0,20,1,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-46_0026.png,0.7153939604759216,0.8298813582944088,0.047619047619047616,21,1.0,1,1024
0,2,11,2,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/264_C-17_0001.png,0.7244032025337219,0.32670715566924774,0.0,11,0.0,0,1024
1,2,9,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/264_C-17_0002.png,0.7945085763931274,0.48872880507353916,0.1,10,0.3333333333333333,1,1024
2,0,26,1,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/264_F-16_0009.png,0.2132110744714737,0.8874500017534405,0.037037037037037035,27,1.0,1,1024
2,0,10,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/264_F-16_0010.png,0.7401220798492432,0.8247100068438749,0.23076923076923078,13,1.0,3,1024
3,0,12,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/264_F-16_0011.png,0.5461039543151855,0.7707530484350859,0.2,15,1.0,3,1024
1,0,13,1,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/264_P-8_0003.png,0.7621105313301086,0.8240140205049165,0.07142857142857142,14,1.0,1,1024
1,0,16,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/264_P-8_0004.png,0.762705385684967,0.669224649147688,0.2,20,1.0,4,1024
2,0,31,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/264_P-8_0005.png,0.6161788105964661,0.694565805957414,0.11428571428571428,35,1.0,4,1024
2,1,8,7,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/264_P-8_0006.png,0.618347704410553,0.6006266643410514,0.42857142857142855,14,0.8571428571428571,6,1024
2,0,15,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/264_P-8_0007.png,0.6705640554428101,0.7488760454594879,0.2857142857142857,21,1.0,6,1024
3,0,15,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/264_P-8_0008.png,0.6362085342407227,0.6814431794885144,0.25,20,1.0,5,1024
0,6,5,11,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-135_0001.png,0.014434386976063251,0.3312550718393608,0.5,10,0.45454545454545453,5,1024
0,3,7,11,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-135_0002.png,0.1671665459871292,0.5213564396398154,0.5333333333333333,15,0.7272727272727273,8,1024
1,4,20,11,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-135_0003.png,0.3235955536365509,0.44998416715825706,0.25925925925925924,27,0.6363636363636364,7,1024
1,2,14,13,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-135_0004.png,0.7216593027114868,0.5908513913782035,0.44,25,0.8461538461538461,11,1024
2,3,19,13,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-135_0005.png,0.7788571119308472,0.5527075348529383,0.3448275862068966,29,0.7692307692307693,10,1024
0,3,43,8,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-135_0006.png,0.11230311542749405,0.46911817995063937,0.10416666666666667,48,0.625,5,1024
1,2,21,9,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-135_0007.png,0.6848360300064087,0.5477859074384377,0.25,28,0.7777777777777778,7,1024
1,2,17,9,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-135_0008.png,0.7638619542121887,0.5665308786812355,0.2916666666666667,24,0.7777777777777778,7,1024
1,3,8,8,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-135_0009.png,0.05070642754435539,0.4294515330028936,0.38461538461538464,13,0.625,5,1024
3,2,23,8,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-135_0010.png,0.7023037672042847,0.5387992371981754,0.20689655172413793,29,0.75,6,1024
2,3,19,10,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-135_0011.png,0.7813355326652527,0.4913346503722889,0.2692307692307692,26,0.7,7,1024
3,0,58,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-46_0012.png,0.8204503059387207,0.7138785560597437,0.09375,64,1.0,6,1024
2,0,61,8,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-46_0013.png,0.7982180714607239,0.6953536205806179,0.11594202898550725,69,1.0,8,1024
3,0,47,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-46_0014.png,0.7650999426841736,0.8032164546276864,0.11320754716981132,53,1.0,6,1024
2,0,28,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-46_0015.png,0.687021017074585,0.8012292207529863,0.17647058823529413,34,1.0,6,1024
1,0,54,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-46_0016.png,0.5888617634773254,0.8014120906774976,0.1,60,1.0,6,1024
4,0,61,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-46_0017.png,0.5892363786697388,0.7976883922833936,0.08955223880597014,67,1.0,6,1024
4,0,34,8,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-46_0018.png,0.5346978306770325,0.7979115725596442,0.19047619047619047,42,1.0,8,1024
5,0,19,8,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-46_0019.png,0.4614561200141907,0.7957248849037386,0.2962962962962963,27,1.0,8,1024
0,0,18,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-46_0020.png,0.5790367722511292,0.7637660438605615,0.21739130434782608,23,1.0,5,1024
1,0,32,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-46_0021.png,0.5283364057540894,0.7595610558885973,0.13513513513513514,37,1.0,5,1024
2,0,20,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/265_KC-46_0022.png,0.4967699348926544,0.7828778934757514,0.2,25,1.0,5,1024
16,0,66,15,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/266_AH-1_0013.png,0.6207152605056763,0.7654240608354091,0.18518518518518517,81,1.0,15,1024
