aspect,bright_ratio_p95,contrast_p95_p5,dark_ratio_p5,edge_density,entropy,gradient_mean,gradient_p95,gray_cv,gray_mean,gray_p1,gray_p5,gray_p50,gray_p95,gray_p99,gray_std,height,image,laplacian_var,pixels,sha1,width
1.0,0.05059051513671875,156.0,0.06330108642578125,0.13177871704101562,6.4933956872149405,19.60150718688965,71.70076751708984,1.2109316566305868,41.41868209838867,4.0,7.0,22.0,163.0,250.0,50.15519332885742,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0027.png,6367.9765625,1048576,76042ed731690bc43091f65a01417c975bc54118,1024
1.0,0.050113677978515625,166.0,0.060333251953125,0.13272476196289062,6.521860046343431,20.12717056274414,74.0016860961914,1.2189683608073034,42.74125289916992,4.0,7.0,23.0,173.0,252.0,52.10023498535156,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0028.png,6528.5107421875,1048576,3d05d7a5f2d5d4dc3f26f406c11ee6e63cd0d868,1024
1.0,0.050174713134765625,162.0,0.057315826416015625,0.12767410278320312,6.767643577350362,23.255964279174805,71.62947082519531,1.0250109872151199,49.95256423950195,6.0,10.0,32.0,172.0,255.0,51.201927185058594,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0004.png,7023.49755859375,1048576,64b3fea2395d7fe54ddbf67769bfe6c9386e7320,1024
1.0,0.050136566162109375,157.0,0.054088592529296875,0.1208038330078125,6.649050516973181,21.79225730895996,70.17333221435547,1.076248442387261,46.54450988769531,5.0,9.0,29.0,166.0,255.0,50.09345626831055,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0005.png,6343.83203125,1048576,d6695181b2d6ddccb2f118eadc7f155cbed6c5a8,1024
1.0,0.050537109375,134.0,0.0555877685546875,0.1157684326171875,6.578404769680298,21.027822494506836,65.96400451660156,1.055239957805294,43.83293533325195,5.0,9.0,29.0,143.0,254.0,46.25426483154297,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0006.png,5892.1982421875,1048576,3bbea4453b22a101c6857b358dff1a1de716d932,1024
1.0,0.050098419189453125,132.0,0.05396270751953125,0.11632156372070312,6.580551567798504,21.22759246826172,66.11543273925781,1.0444478833208377,43.8537712097168,5.0,9.0,29.0,141.0,254.0,45.802978515625,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0007.png,5944.45458984375,1048576,ef67279a26320c59a3cefa0420d25672b8ee31f6,1024
1.0,0.050090789794921875,157.0,0.061138153076171875,0.12759780883789062,6.7683830382432575,23.09688377380371,71.10621643066406,1.0198568368157943,49.326168060302734,6.0,10.0,32.0,167.0,255.0,50.30562973022461,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0008.png,7039.169921875,1048576,233188f7c2a43a446ad06181051fb5e1f23c3c0c,1024
1.0,0.05023193359375,169.0,0.052677154541015625,0.13437271118164062,6.893784635471729,24.611536026000977,73.91380310058594,0.9835329919828338,53.30473327636719,6.0,10.0,35.0,179.0,255.0,52.426963806152344,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0009.png,7909.6044921875,1048576,31e9eb291e8d1e714216f1437d432a4eb536fc58,1024
1.0,0.050365447998046875,169.0,0.055179595947265625,0.12317276000976562,6.7015320481350615,22.006486892700195,69.6455307006836,1.082508840508765,48.4005012512207,5.0,9.0,30.0,178.0,255.0,52.39397048950195,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0010.png,6436.54541015625,1048576,901caf7409d157fc2a9a429cf8ff7eb7768fe21c,1024
1.0,0.05035400390625,151.0,0.0598297119140625,0.11510467529296875,6.574030006508545,20.686677932739258,66.09273529052734,1.1040540742368607,44.69766616821289,5.0,9.0,28.0,160.0,255.0,49.34864044189453,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0011.png,5715.13525390625,1048576,f9220c88d7293b8805f8b56fe2d39507e4b79787,1024
1.0,0.05010223388671875,135.0,0.0606689453125,0.11265945434570312,6.53812392642467,20.3169002532959,63.656978607177734,1.082380071496188,43.06195831298828,5.0,9.0,28.0,144.0,255.0,46.609405517578125,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0012.png,5561.73046875,1048576,5ef3e183011bee56a72d9de42258e90a262892ce,1024
1.0,0.05042266845703125,130.0,0.05803680419921875,0.11526870727539062,6.580490058224297,20.780838012695312,63.57082748413086,1.048278978592741,43.62587356567383,5.0,9.0,29.0,139.0,254.0,45.732086181640625,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0013.png,5767.37548828125,1048576,44fcdf3311d66e806b94ad72cca7159200f561bd,1024
1.0,0.050075531005859375,145.0,0.050167083740234375,0.12440109252929688,6.729887490509377,22.445873260498047,68.34654235839844,1.0098173529698016,47.62235641479492,6.0,9.0,32.0,154.0,255.0,48.089881896972656,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0014.png,6787.2158203125,1048576,df282b2db210f3432412e1ecf28eef1eb97dc16e,1024
1.0,0.05040740966796875,139.0,0.06618881225585938,0.11648178100585938,6.584477159291624,20.53011131286621,64.20669555664062,1.086269241565892,43.811920166015625,5.0,9.0,28.0,148.0,255.0,47.5915412902832,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0015.png,5797.74951171875,1048576,55ca643115554e7fe51fa79bb809d5ff26d821c6,1024
1.0,0.05027008056640625,127.0,0.052471160888671875,0.10969161987304688,6.472958315458398,19.46004295349121,61.045066833496094,1.1041966726734505,40.999786376953125,5.0,8.0,26.0,135.0,254.0,45.271827697753906,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0016.png,5227.2353515625,1048576,37f636c5443ca4104434d8f4b9b9b151e60bc21f,1024
1.0,0.050357818603515625,125.0,0.06674575805664062,0.11288833618164062,6.534636594004834,20.142635345458984,62.243473052978516,1.06654090232355,42.13331604003906,5.0,9.0,28.0,134.0,254.0,44.93690490722656,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0017.png,5540.9267578125,1048576,ede09459e85fd1e538d1ae7926f5929d9e9823ad,1024
1.0,0.050495147705078125,94.0,0.05492401123046875,0.11474990844726562,6.41351511070187,18.784652709960938,53.03300857543945,0.9719504699719387,37.40696334838867,5.0,8.0,26.0,102.0,218.0,36.35771560668945,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0018.png,4964.53369140625,1048576,0e1b05a32970020efa819b9f6d447328003f2184,1024
1.0,0.051219940185546875,89.0,0.053928375244140625,0.12362289428710938,6.422529626912836,18.535734176635742,50.062461853027344,0.8955268944938963,37.00595474243164,5.0,8.0,27.0,97.0,179.0,33.139827728271484,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0019.png,4932.8935546875,1048576,52b6786ad2fcd0cbf2f7d589bf6e396f128ce3c7,1024
1.0,0.0501708984375,148.0,0.06700515747070312,0.12212371826171875,6.6812139280192495,21.527334213256836,64.2748031616211,1.0668911491707354,46.06882095336914,5.0,9.0,29.0,157.0,255.0,49.15041732788086,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0020.png,6271.7900390625,1048576,c3aa25dddb86ec5582dacd0fd453104e979b1a35,1024
